관할 지자체,교차로명,교차로 ID,위도(Latitude),경도(Longitude)
서울특별시,구기동정류장,1838,37.6070339000,126.9587855000
서울특별시,종로5가,1839,37.5710013000,127.0019255000
서울특별시,낙원상가,1843,37.5735455000,126.9876807000
서울특별시,구기터널,1846,37.6084681000,126.9567144000
서울특별시,신영소방서,1847,37.6058314000,126.9606180000
서울특별시,인권빌딩,185,37.5342458000,126.8635971000
서울특별시,청계2가,1850,37.5682795000,126.9876861000
서울특별시,창경궁,1851,37.5790415000,126.9966823000
서울특별시,조계사,1854,37.5739436000,126.9829375000
서울특별시,팔판동,1855,37.5810688000,126.9802530000
서울특별시,정부서울청사,1857,37.5757580000,126.9743313000
서울특별시,용두119안전센터앞,186,37.5780826000,127.0317389000
서울특별시,우리은행효자,1861,37.5781183000,126.9718623000
서울특별시,종로3가,1863,37.5704205000,126.9921386000
서울특별시,청계4가,1864,37.5690316000,126.9979233000
서울특별시,동묘앞역,1865,37.5730228000,127.0156343000
서울특별시,성균관대입구,1866,37.5830166000,126.9987504000
서울특별시,국립과학관,1867,37.5814946000,126.9970056000
서울특별시,둔촌아파트입구삼거리,1869,37.5236777000,127.1346825000
서울특별시,LG전자,1871,37.4815134000,126.9504182000
서울특별시,낙성대입구,1873,37.4785270000,126.9598853000
서울특별시,중계종합사회복지관,1876,37.6572335000,127.0768473000
서울특별시,중계주공4.5단지,1877,37.6545558000,127.0781698000
서울특별시,강서운전면허시험장입구,1882,37.5493647000,126.8195630000
서울특별시,코끼리약국,1885,37.5081781000,127.0879169000
서울특별시,관악우성아파트,189,37.4864113000,126.9568561000
서울특별시,강서한강자이타워,1893,37.5656407000,126.8465729000
서울특별시,한강대교북단,1899,37.5224199000,126.9617766000
서울특별시,중계9단지,1900,37.6411938000,127.0763343000
서울특별시,목동월드파크빌,1904,37.5408714000,126.8637453000
서울특별시,성가복지병원,1909,37.6063813000,127.0311781000
서울특별시,동일로주유소,1911,37.5679478000,127.0785921000
서울특별시,신내데시앙정문,1912,37.6108300000,127.1011727000
서울특별시,워커힐아파트,1914,37.5480903000,127.1070931000
서울특별시,둔촌고교입구,1915,37.5352166000,127.1453212000
서울특별시,은일로즈힐아파트,1917,37.5163123000,126.8369575000
서울특별시,신화중학교,1918,37.5395017000,126.8309036000
서울특별시,삼일빌딩앞,1921,37.5627074000,127.0003211000
서울특별시,홍은풍림아파트,1922,37.5951590000,126.9402854000
서울특별시,홍제역,1923,37.5880055000,126.9451089000
서울특별시,무악재한화아파트,1924,37.5827395000,126.9501417000
서울특별시,안산초교,1926,37.5805804000,126.9517861000
서울특별시,모과나무집,1927,37.5747540000,126.9247075000
서울특별시,서울역광장,1928,37.5540576000,126.9729844000
서울특별시,서울역,1929,37.5570508000,126.9726242000
서울특별시,시민교회,1943,37.5545041000,127.0863109000
서울특별시,청계광장,1946,37.5694153000,126.9771986000
서울특별시,군자역,1954,37.5571793000,127.0794927000
서울특별시,어린이회관앞,1957,37.5456142000,127.0785874000
서울특별시,고척중,1958,37.5006441000,126.8636020000
서울특별시,세이브마트,196,37.4739725000,126.9176019000
서울특별시,북부도로교통사업소앞,1962,37.6340616000,127.0376232000
서울특별시,대명신협,1963,37.5786574000,127.0403900000
서울특별시,인덕대학,1966,37.6289518000,127.0549892000
서울특별시,난우지구대,197,37.4797112000,126.9149363000
서울특별시,휘경동청년주택,1971,37.5891509000,127.0589138000
서울특별시,배봉초교,1972,37.5786639000,127.0684224000
서울특별시,동서울케이블TV앞,1977,37.5428285000,127.0618607000
서울특별시,해성자동차공업사앞,1978,37.5432538000,127.0604213000
서울특별시,신도림역,198,37.5102262000,126.8903682000
서울특별시,잠실새내역,1980,37.5116331000,127.0855385000
서울특별시,잠실3사거리,1981,37.5118955000,127.0925284000
서울특별시,그랜드마트,1988,37.5596618000,126.8386338000
서울특별시,성내천공원앞,1989,37.5251481000,127.1254038000
서울특별시,신도림주민센터,199,37.5057642000,126.8836059000
서울특별시,팬코,1990,37.5607703000,126.8389868000
서울특별시,등촌1-10단지,1991,37.5632190000,126.8397947000
서울특별시,대륭드림타운,1992,37.5665502000,126.8408441000
서울특별시,원남동사거리,1999,37.5759134000,126.9973494000
서울특별시,구로역,200,37.5030259000,126.8798092000
서울특별시,이촌역앞(연등),20001,37.5229798000,126.9721030000
서울특별시,석관중(연등),20005,37.6059691000,127.0665962000
서울특별시,구로경찰서(연등),20009,37.4943412000,126.8870739000
서울특별시,청량리전화국,2001,37.5847835000,127.0437384000
서울특별시,난곡우체국앞(연등),20010,37.4778807000,126.9165270000
서울특별시,삼성동센트럴아이파크(연등),20026,37.5162776000,127.0516058000
서울특별시,석촌호,2003,37.5065529000,127.0973009000
서울특별시,강남세무서(연등)1,20030,37.5184194000,127.0480101000
서울특별시,논현지구대(연등),20034,37.5127762000,127.0268085000
서울특별시,전기공제회관(연등),20035,37.5138188000,127.0202112000
